closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
1225,1,5,4.123345367027677,3.0
1654,1,3,4.123345367027677,3.0
331,0,3,4.123345367027677,3.0
222,8,3,4.123345367027677,3.0
494,0,3,4.123345367027677,3.0
1586,1,2,4.123345367027677,3.0
1758,8,8,4.123345367027677,3.0
850,3,3,4.123345367027677,3.0
1118,8,1,4.123345367027677,3.0
680,8,0,4.123345367027677,3.0
304,2,5,4.123345367027677,3.0
269,0,1,4.123345367027677,3.0
1208,3,5,4.123345367027677,3.0
557,8,5,4.123345367027677,3.0
736,0,0,4.123345367027677,3.0
1735,0,2,4.123345367027677,3.0
850,1,3,4.123345367027677,3.0
933,2,8,4.123345367027677,3.0
850,1,3,4.123345367027677,3.0
1210,8,13,4.123345367027677,3.0
1237,8,5,4.123345367027677,3.0
272,1,0,4.123345367027677,3.0
339,5,5,4.123345367027677,3.0
1632,1,5,4.123345367027677,3.0
1555,1,2,4.123345367027677,3.0
1517,8,13,4.123345367027677,3.0
973,1,1,4.123345367027677,3.0
137,0,8,4.123345367027677,3.0
1742,1,5,4.123345367027677,3.0
1179,8,0,4.123345367027677,3.0
1714,2,8,4.123345367027677,3.0
339,8,5,4.123345367027677,3.0
1433,3,5,4.123345367027677,3.0
1139,3,1,4.123345367027677,3.0
1693,1,3,4.123345367027677,3.0
671,1,8,4.123345367027677,3.0
1318,2,0,4.123345367027677,3.0
1086,2,0,4.123345367027677,3.0
1335,8,8,4.123345367027677,3.0
1151,8,5,4.123345367027677,3.0
1398,2,2,4.123345367027677,3.0
1592,2,8,4.123345367027677,3.0
1132,0,5,4.123345367027677,3.0
865,8,3,4.123345367027677,3.0
849,8,5,4.123345367027677,3.0
1281,1,8,4.123345367027677,3.0
958,0,5,4.123345367027677,3.0
572,2,5,4.123345367027677,3.0
1497,1,0,4.123345367027677,3.0
700,2,2,4.123345367027677,3.0
24,0,5,4.123345367027677,3.0
1740,1,1,4.123345367027677,3.0
1433,8,5,4.123345367027677,3.0
1665,3,1,4.123345367027677,3.0
1156,8,8,4.123345367027677,3.0
303,0,0,4.123345367027677,3.0
1338,1,2,4.123345367027677,3.0
1326,8,5,4.123345367027677,3.0
898,8,8,4.123345367027677,3.0
1133,8,5,4.123345367027677,3.0
1258,0,1,5.3544303797468356,5.0
1515,8,13,4.123345367027677,3.0
897,8,2,4.123345367027677,3.0
1738,2,1,4.123345367027677,3.0
269,2,1,4.123345367027677,3.0
724,13,3,4.123345367027677,3.0
1687,13,3,4.123345367027677,3.0
175,0,1,4.123345367027677,3.0
1240,2,3,4.123345367027677,3.0
1653,1,1,4.123345367027677,3.0
865,1,3,4.123345367027677,3.0
1511,1,1,4.123345367027677,3.0
1208,5,5,4.123345367027677,3.0
1433,5,5,4.123345367027677,3.0
73,2,8,4.123345367027677,3.0
1320,2,0,4.123345367027677,3.0
1506,2,8,4.123345367027677,3.0
1408,2,0,4.123345367027677,3.0
563,2,1,4.123345367027677,3.0
1669,2,5,4.123345367027677,3.0
1708,1,0,4.123345367027677,3.0
181,8,2,4.123345367027677,3.0
644,8,3,4.123345367027677,3.0
1289,8,5,4.123345367027677,3.0
1255,0,1,4.123345367027677,3.0
699,8,1,4.123345367027677,3.0
1312,2,5,4.123345367027677,3.0
1593,0,1,4.123345367027677,3.0
1738,8,1,4.123345367027677,3.0
1452,2,2,4.123345367027677,3.0
53,2,5,4.123345367027677,3.0
1559,2,0,4.123345367027677,3.0
1433,8,5,4.123345367027677,3.0
1236,1,1,4.123345367027677,3.0
1306,3,1,4.123345367027677,3.0
993,8,3,4.123345367027677,3.0
1324,1,5,4.123345367027677,3.0
270,2,8,4.123345367027677,3.0
480,1,5,4.123345367027677,3.0
1195,5,13,5.3544303797468356,5.0
261,0,8,4.123345367027677,3.0
1669,13,5,4.123345367027677,3.0
1576,3,2,4.123345367027677,3.0
1061,2,5,4.123345367027677,3.0
898,2,8,4.123345367027677,3.0
1325,2,0,4.123345367027677,3.0
434,3,3,4.123345367027677,3.0
1365,5,13,4.123345367027677,3.0
796,0,0,4.123345367027677,3.0
432,1,1,5.3544303797468356,5.0
1597,2,8,4.123345367027677,3.0
1240,2,3,4.123345367027677,3.0
74,1,8,4.123345367027677,3.0
874,2,5,4.123345367027677,3.0
1116,2,0,4.123345367027677,3.0
897,8,2,4.123345367027677,3.0
897,8,2,4.123345367027677,3.0
898,8,8,4.123345367027677,3.0
802,2,2,4.123345367027677,3.0
1365,1,13,4.123345367027677,3.0
578,5,8,4.123345367027677,3.0
1605,2,1,4.123345367027677,3.0
119,2,1,4.123345367027677,3.0
1365,5,13,4.123345367027677,3.0
687,2,0,4.123345367027677,3.0
1478,8,8,4.123345367027677,3.0
415,8,2,4.123345367027677,3.0
1470,2,3,4.123345367027677,3.0
706,2,1,4.123345367027677,3.0
73,2,8,4.123345367027677,3.0
1703,1,13,4.123345367027677,3.0
759,8,13,4.123345367027677,3.0
1221,5,8,4.123345367027677,3.0
1476,2,1,4.123345367027677,3.0
304,1,5,4.123345367027677,3.0
911,0,5,4.123345367027677,3.0
492,2,1,4.123345367027677,3.0
1328,2,8,4.123345367027677,3.0
13,2,1,4.123345367027677,3.0
384,8,0,4.123345367027677,3.0
705,0,0,4.123345367027677,3.0
578,3,8,4.123345367027677,3.0
1543,2,8,4.123345367027677,3.0
705,0,0,4.123345367027677,3.0
175,2,1,4.123345367027677,3.0
1055,3,5,4.123345367027677,3.0
824,8,0,4.123345367027677,3.0
563,5,1,4.123345367027677,3.0
1268,0,0,4.123345367027677,3.0
251,1,1,4.123345367027677,3.0
190,5,5,4.123345367027677,3.0
670,5,8,4.123345367027677,3.0
450,0,0,4.123345367027677,3.0
270,1,8,4.123345367027677,3.0
1328,2,8,4.123345367027677,3.0
1332,8,3,4.123345367027677,3.0
1650,1,2,4.123345367027677,3.0
146,1,0,4.123345367027677,3.0
443,1,3,4.123345367027677,3.0
1553,2,1,4.123345367027677,3.0
1243,1,0,4.123345367027677,3.0
241,1,3,4.123345367027677,3.0
23,8,3,4.123345367027677,3.0
1281,1,8,4.123345367027677,3.0
304,2,5,4.123345367027677,3.0
1433,0,5,4.123345367027677,3.0
1601,0,8,4.123345367027677,3.0
122,0,1,4.123345367027677,3.0
1601,0,8,4.123345367027677,3.0
1597,1,8,4.123345367027677,3.0
1605,1,1,4.123345367027677,3.0
1666,2,0,4.123345367027677,3.0
1291,0,3,4.123345367027677,3.0
1144,2,13,4.123345367027677,3.0
435,0,1,4.123345367027677,3.0
1680,8,8,4.123345367027677,3.0
1063,2,8,4.123345367027677,3.0
1350,1,8,5.3544303797468356,5.0
344,0,2,4.123345367027677,3.0
556,2,1,4.123345367027677,3.0
832,8,8,4.123345367027677,3.0
542,0,2,4.123345367027677,3.0
1025,8,3,4.123345367027677,3.0
426,8,0,4.123345367027677,3.0
258,1,1,4.123345367027677,3.0
1458,0,5,4.123345367027677,3.0
1120,2,5,4.123345367027677,3.0
1240,8,3,4.123345367027677,3.0
442,5,0,4.123345367027677,3.0
417,1,5,4.123345367027677,3.0
1627,2,3,4.123345367027677,3.0
1737,3,13,4.123345367027677,3.0
1465,0,1,4.123345367027677,3.0
938,13,13,4.123345367027677,3.0
136,2,1,4.123345367027677,3.0
1251,2,0,4.123345367027677,3.0
1397,2,8,4.123345367027677,3.0
1438,2,1,4.123345367027677,3.0
1473,1,8,4.123345367027677,3.0
648,1,0,4.123345367027677,3.0
122,0,1,4.123345367027677,3.0
254,3,8,4.123345367027677,3.0
1263,8,8,5.3544303797468356,5.0
1014,0,3,4.123345367027677,3.0
421,8,8,4.123345367027677,3.0
1650,1,2,4.123345367027677,3.0
24,8,5,4.123345367027677,3.0
492,0,1,4.123345367027677,3.0
1349,1,8,4.526315789473684,5.0
1028,2,1,4.123345367027677,3.0
1420,8,2,4.123345367027677,3.0
1041,2,3,4.123345367027677,3.0
232,0,5,4.123345367027677,3.0
381,0,3,4.123345367027677,3.0
1258,0,1,5.3544303797468356,5.0
1604,2,5,4.123345367027677,3.0
190,3,5,4.123345367027677,3.0
1153,2,5,4.123345367027677,3.0
687,5,0,4.123345367027677,3.0
604,1,1,4.123345367027677,3.0
1026,0,8,4.123345367027677,3.0
1550,8,2,4.123345367027677,3.0
1708,3,0,4.123345367027677,3.0
1427,1,5,4.123345367027677,3.0
1671,2,2,4.123345367027677,3.0
250,2,3,4.123345367027677,3.0
48,1,5,4.123345367027677,3.0
921,3,8,4.123345367027677,3.0
58,2,2,4.123345367027677,3.0
638,2,5,4.123345367027677,3.0
824,2,0,4.123345367027677,3.0
1045,3,3,4.123345367027677,3.0
1236,8,1,4.123345367027677,3.0
269,0,1,4.123345367027677,3.0
1624,0,0,4.123345367027677,3.0
1149,5,8,4.123345367027677,3.0
1132,0,5,4.123345367027677,3.0
1654,3,3,4.123345367027677,3.0
1540,1,8,4.123345367027677,3.0
1413,2,1,4.123345367027677,3.0
1604,3,5,4.123345367027677,3.0
1666,3,0,4.123345367027677,3.0
531,2,0,4.123345367027677,3.0
1087,2,2,4.123345367027677,3.0
907,1,5,4.123345367027677,3.0
1496,5,5,4.123345367027677,3.0
1601,2,8,4.123345367027677,3.0
1654,1,3,4.123345367027677,3.0
1581,1,2,4.123345367027677,3.0
1246,2,1,4.123345367027677,3.0
696,1,1,4.123345367027677,3.0
1660,5,13,4.123345367027677,3.0
1654,1,3,4.123345367027677,3.0
797,5,13,4.123345367027677,3.0
1542,2,1,4.123345367027677,3.0
462,2,5,4.123345367027677,3.0
462,2,5,4.123345367027677,3.0
1393,2,5,4.123345367027677,3.0
1576,2,2,4.123345367027677,3.0
1597,2,8,4.123345367027677,3.0
1468,5,2,4.123345367027677,3.0
1292,2,8,4.123345367027677,3.0
1389,0,8,4.123345367027677,3.0
824,2,0,4.123345367027677,3.0
1027,2,3,4.123345367027677,3.0
1620,2,2,4.123345367027677,3.0
1482,8,3,4.123345367027677,3.0
1279,0,8,4.123345367027677,3.0
344,1,2,4.123345367027677,3.0
648,8,0,4.123345367027677,3.0
539,2,0,5.3544303797468356,5.0
814,1,1,5.3544303797468356,5.0
442,5,0,4.123345367027677,3.0
980,0,8,4.123345367027677,3.0
1691,5,1,4.123345367027677,3.0
564,5,1,4.123345367027677,3.0
1391,0,2,4.123345367027677,3.0
716,8,2,4.123345367027677,3.0
31,2,5,4.123345367027677,3.0
542,2,2,4.123345367027677,3.0
1145,8,5,4.123345367027677,3.0
988,1,1,4.123345367027677,3.0
339,1,5,4.123345367027677,3.0
1462,2,5,4.123345367027677,3.0
1158,8,5,4.123345367027677,3.0
1263,1,8,5.3544303797468356,5.0
962,1,1,4.123345367027677,3.0
962,1,1,4.123345367027677,3.0
1279,2,8,4.123345367027677,3.0
1232,2,2,4.123345367027677,3.0
1315,1,3,4.123345367027677,3.0
1704,3,8,4.123345367027677,3.0
626,1,3,4.123345367027677,3.0
165,1,3,4.123345367027677,3.0
828,5,2,4.123345367027677,3.0
1358,2,8,4.123345367027677,3.0
1306,5,1,4.123345367027677,3.0
1500,1,2,4.123345367027677,3.0
706,1,1,4.123345367027677,3.0
1112,5,0,4.123345367027677,3.0
381,1,3,4.123345367027677,3.0
855,5,3,4.123345367027677,3.0
1515,8,13,4.123345367027677,3.0
232,2,5,4.123345367027677,3.0
1325,8,0,4.123345367027677,3.0
1504,1,8,4.123345367027677,3.0
418,2,0,4.123345367027677,3.0
1043,1,8,4.123345367027677,3.0
1238,1,2,4.123345367027677,3.0
1484,2,5,4.123345367027677,3.0
450,1,0,4.123345367027677,3.0
1227,2,1,4.123345367027677,3.0
1325,0,0,4.123345367027677,3.0
1577,3,3,4.123345367027677,3.0
1442,2,1,4.123345367027677,3.0
749,2,0,4.123345367027677,3.0
1746,2,8,4.123345367027677,3.0
858,2,0,4.123345367027677,3.0
1411,8,2,4.123345367027677,3.0
442,5,0,4.123345367027677,3.0
1278,2,3,4.123345367027677,3.0
533,2,8,4.123345367027677,3.0
1151,2,5,4.123345367027677,3.0
192,2,1,4.123345367027677,3.0
1437,2,0,4.123345367027677,3.0
1170,3,5,4.123345367027677,3.0
542,8,2,4.123345367027677,3.0
636,1,1,4.123345367027677,3.0
264,5,1,4.123345367027677,3.0
1170,3,5,4.123345367027677,3.0
961,5,13,4.123345367027677,3.0
1451,2,0,4.123345367027677,3.0
680,8,0,4.123345367027677,3.0
1395,1,5,5.3544303797468356,5.0
1466,2,1,4.123345367027677,3.0
251,5,1,4.123345367027677,3.0
1708,1,0,4.123345367027677,3.0
270,3,8,4.123345367027677,3.0
1614,3,3,4.123345367027677,3.0
339,8,5,4.123345367027677,3.0
1674,1,8,4.123345367027677,3.0
1264,5,1,4.123345367027677,3.0
687,2,0,4.123345367027677,3.0
736,2,0,4.123345367027677,3.0
239,0,1,4.123345367027677,3.0
476,1,5,4.123345367027677,3.0
973,8,1,4.123345367027677,3.0
1447,5,8,4.123345367027677,3.0
1383,1,0,4.123345367027677,3.0
1668,1,8,4.123345367027677,3.0
667,2,1,4.123345367027677,3.0
1616,1,2,4.123345367027677,3.0
13,2,1,4.123345367027677,3.0
154,2,3,4.123345367027677,3.0
1388,1,1,4.123345367027677,3.0
796,1,0,4.123345367027677,3.0
1616,1,2,4.123345367027677,3.0
888,2,0,4.123345367027677,3.0
321,2,8,4.123345367027677,3.0
410,1,8,4.123345367027677,3.0
657,1,1,4.123345367027677,3.0
1107,1,3,4.123345367027677,3.0
1634,8,8,4.123345367027677,3.0
256,0,1,4.123345367027677,3.0
533,1,8,4.123345367027677,3.0
1616,1,2,4.123345367027677,3.0
1085,8,0,4.123345367027677,3.0
644,2,3,4.123345367027677,3.0
994,8,13,4.123345367027677,3.0
667,2,1,4.123345367027677,3.0
1452,2,2,4.123345367027677,3.0
561,5,5,4.123345367027677,3.0
1149,5,8,4.123345367027677,3.0
762,2,5,4.123345367027677,3.0
1717,8,3,4.123345367027677,3.0
251,5,1,4.123345367027677,3.0
1593,2,1,4.123345367027677,3.0
759,5,13,4.123345367027677,3.0
1014,5,3,4.123345367027677,3.0
1697,13,13,4.123345367027677,3.0
1593,1,1,4.123345367027677,3.0
563,2,1,4.123345367027677,3.0
887,1,5,4.123345367027677,3.0
931,1,5,4.123345367027677,3.0
1602,2,0,4.123345367027677,3.0
1106,1,5,4.123345367027677,3.0
1438,8,1,4.123345367027677,3.0
1106,5,5,4.123345367027677,3.0
251,1,1,4.123345367027677,3.0
1670,3,3,4.123345367027677,3.0
1246,0,1,4.123345367027677,3.0
346,8,8,4.123345367027677,3.0
1510,8,2,4.123345367027677,3.0
1576,2,2,4.123345367027677,3.0
1306,5,1,4.123345367027677,3.0
1116,3,0,4.123345367027677,3.0
1225,5,5,4.123345367027677,3.0
1354,2,8,4.123345367027677,3.0
1543,8,8,4.123345367027677,3.0
1506,1,8,4.123345367027677,3.0
264,1,1,4.123345367027677,3.0
1510,8,2,4.123345367027677,3.0
1491,1,2,4.123345367027677,3.0
1431,1,1,4.123345367027677,3.0
778,2,5,4.123345367027677,3.0
829,3,2,4.123345367027677,3.0
1620,0,2,4.123345367027677,3.0
830,5,13,4.123345367027677,3.0
1139,8,1,4.123345367027677,3.0
1191,0,3,4.123345367027677,3.0
828,1,2,4.123345367027677,3.0
1335,0,8,4.123345367027677,3.0
958,5,5,4.123345367027677,3.0
1601,8,8,4.123345367027677,3.0
1625,2,2,4.123345367027677,3.0
1045,3,3,4.123345367027677,3.0
667,2,1,4.123345367027677,3.0
988,5,1,4.123345367027677,3.0
958,8,5,4.123345367027677,3.0
1261,8,8,4.123345367027677,3.0
1714,1,8,4.123345367027677,3.0
897,8,2,4.123345367027677,3.0
1238,1,2,4.123345367027677,3.0
1708,8,0,4.123345367027677,3.0
1439,13,0,5.3544303797468356,5.0
1433,3,5,4.123345367027677,3.0
1593,8,1,4.123345367027677,3.0
207,2,3,4.123345367027677,3.0
1153,2,5,4.123345367027677,3.0
1737,3,13,4.123345367027677,3.0
1301,8,13,4.123345367027677,3.0
826,1,5,4.123345367027677,3.0
1127,0,8,4.123345367027677,3.0
31,2,5,4.123345367027677,3.0
31,2,5,4.123345367027677,3.0
31,1,5,4.123345367027677,3.0
1680,2,8,4.123345367027677,3.0
1680,2,8,4.123345367027677,3.0
1722,2,1,4.123345367027677,3.0
1265,8,8,5.3544303797468356,5.0
563,1,1,4.123345367027677,3.0
671,2,8,4.123345367027677,3.0
644,2,3,4.123345367027677,3.0
1461,2,5,4.123345367027677,3.0
234,2,8,4.123345367027677,3.0
1307,5,8,4.123345367027677,3.0
1014,2,3,4.123345367027677,3.0
944,0,8,4.123345367027677,3.0
1433,8,5,4.123345367027677,3.0
518,1,5,4.123345367027677,3.0
1708,3,0,4.123345367027677,3.0
1458,13,5,4.123345367027677,3.0
1435,5,8,4.123345367027677,3.0
954,8,8,4.123345367027677,3.0
948,3,8,4.123345367027677,3.0
31,1,5,4.123345367027677,3.0
31,1,5,4.123345367027677,3.0
31,0,5,4.123345367027677,3.0
31,1,5,4.123345367027677,3.0
585,2,5,4.123345367027677,3.0
1092,8,1,4.123345367027677,3.0
1266,1,13,4.123345367027677,3.0
1116,2,0,4.123345367027677,3.0
1052,5,3,4.123345367027677,3.0
1485,2,1,4.123345367027677,3.0
1650,0,2,4.123345367027677,3.0
893,1,8,4.123345367027677,3.0
1253,1,2,4.123345367027677,3.0
865,1,3,4.123345367027677,3.0
250,2,3,4.123345367027677,3.0
939,1,13,4.123345367027677,3.0
1338,2,2,4.123345367027677,3.0
383,8,5,4.123345367027677,3.0
1240,2,3,4.123345367027677,3.0
1520,8,8,4.123345367027677,3.0
1118,3,1,4.123345367027677,3.0
1691,3,1,4.123345367027677,3.0
1327,1,5,4.123345367027677,3.0
736,8,0,4.123345367027677,3.0
1539,1,2,4.123345367027677,3.0
1332,2,3,4.123345367027677,3.0
1265,8,8,5.3544303797468356,5.0
487,8,1,4.123345367027677,3.0
715,1,0,4.123345367027677,3.0
611,2,5,4.123345367027677,3.0
1458,1,5,4.123345367027677,3.0
109,2,3,4.123345367027677,3.0
980,2,8,4.123345367027677,3.0
1403,1,2,4.123345367027677,3.0
303,2,0,4.123345367027677,3.0
1283,0,8,4.123345367027677,3.0
1738,1,1,4.123345367027677,3.0
1704,3,8,4.123345367027677,3.0
154,0,3,4.123345367027677,3.0
1212,2,13,4.123345367027677,3.0
1112,2,0,4.123345367027677,3.0
1170,3,5,4.123345367027677,3.0
1463,2,8,4.123345367027677,3.0
1063,1,8,4.123345367027677,3.0
164,1,1,4.123345367027677,3.0
165,1,3,4.123345367027677,3.0
903,2,8,4.123345367027677,3.0
518,2,5,4.123345367027677,3.0
988,1,1,4.123345367027677,3.0
644,1,3,4.123345367027677,3.0
1632,3,5,4.123345367027677,3.0
1656,2,8,4.123345367027677,3.0
699,2,1,4.123345367027677,3.0
478,1,3,4.123345367027677,3.0
1306,1,1,4.123345367027677,3.0
91,2,8,4.123345367027677,3.0
246,0,3,4.123345367027677,3.0
317,1,0,4.123345367027677,3.0
1092,3,1,4.123345367027677,3.0
519,2,0,4.123345367027677,3.0
1194,1,2,4.123345367027677,3.0
261,5,8,4.123345367027677,3.0
281,2,1,4.123345367027677,3.0
331,2,3,4.123345367027677,3.0
1470,3,3,4.123345367027677,3.0
898,1,8,4.123345367027677,3.0
137,2,8,4.123345367027677,3.0
910,2,5,4.123345367027677,3.0
13,1,1,4.123345367027677,3.0
1581,1,2,4.123345367027677,3.0
1181,2,2,4.123345367027677,3.0
1434,2,8,4.123345367027677,3.0
1345,1,5,4.123345367027677,3.0
518,2,5,4.123345367027677,3.0
1411,3,2,4.123345367027677,3.0
1612,3,0,4.123345367027677,3.0
261,8,8,4.123345367027677,3.0
736,8,0,4.123345367027677,3.0
408,2,0,4.123345367027677,3.0
1304,2,3,4.123345367027677,3.0
531,5,0,4.123345367027677,3.0
670,5,8,4.123345367027677,3.0
1654,3,3,4.123345367027677,3.0
1185,3,8,4.123345367027677,3.0
1440,5,5,4.123345367027677,3.0
391,8,5,4.123345367027677,3.0
922,3,3,4.123345367027677,3.0
1660,5,13,4.123345367027677,3.0
106,2,1,4.123345367027677,3.0
470,1,3,4.123345367027677,3.0
270,0,8,4.123345367027677,3.0
1670,0,3,4.123345367027677,3.0
988,8,1,4.123345367027677,3.0
1440,3,5,4.123345367027677,3.0
1059,2,13,4.123345367027677,3.0
73,2,8,4.123345367027677,3.0
1242,1,8,4.123345367027677,3.0
344,2,2,4.123345367027677,3.0
1193,8,5,4.123345367027677,3.0
518,2,5,4.123345367027677,3.0
931,8,5,4.123345367027677,3.0
532,2,5,4.123345367027677,3.0
103,1,2,4.123345367027677,3.0
636,1,1,4.123345367027677,3.0
921,3,8,4.123345367027677,3.0
140,1,5,4.123345367027677,3.0
1674,0,8,4.123345367027677,3.0
447,1,3,4.123345367027677,3.0
402,2,13,4.123345367027677,3.0
1669,2,5,4.123345367027677,3.0
211,2,2,4.123345367027677,3.0
903,2,8,4.123345367027677,3.0
1049,2,1,4.123345367027677,3.0
1741,8,1,4.123345367027677,3.0
165,1,3,4.123345367027677,3.0
1592,1,8,4.123345367027677,3.0
802,5,2,4.123345367027677,3.0
1151,1,5,4.123345367027677,3.0
1581,2,2,4.123345367027677,3.0
532,1,5,4.123345367027677,3.0
73,2,8,4.123345367027677,3.0
1276,13,0,4.123345367027677,3.0
1577,2,3,4.123345367027677,3.0
421,5,8,4.123345367027677,3.0
109,2,3,4.123345367027677,3.0
154,2,3,4.123345367027677,3.0
1357,3,3,4.123345367027677,3.0
283,2,5,4.123345367027677,3.0
974,2,5,4.123345367027677,3.0
1151,8,5,4.123345367027677,3.0
1741,8,1,4.123345367027677,3.0
110,0,8,4.123345367027677,3.0
1063,0,8,4.123345367027677,3.0
