closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
633,1.0,0.5,1.5294117647058822,1.0
314,1.0,1.0,1.2,1.0
666,2.0,0.5,1.25,1.25
729,2.0,1.0,1.5833333333333333,1.0
312,0.5,1.0,0.8333333333333334,1.0
390,2.0,1.0,3.0,3.0
684,3.0,1.0,1.2272727272727273,1.0
548,1.0,0.5,0.8,1.0
430,0.5,3.0,1.8333333333333333,2.0
661,1.0,1.0,1.5294117647058822,1.0
810,0.5,0.5,0.5,0.5
589,1.0,0.5,0.5,0.5
390,8.0,1.0,3.0,3.0
335,0.5,2.0,2.0,2.0
157,3.0,5.0,1.6666666666666667,1.0
624,3.0,0.5,1.25,1.25
335,3.0,2.0,2.0,2.0
839,1.0,2.0,1.5294117647058822,1.0
831,0.5,3.0,3.0,3.0
846,1.0,0.5,0.5,0.5
194,1.0,2.0,1.5833333333333333,1.0
635,2.0,5.0,2.1666666666666665,1.0
714,1.0,0.5,0.5,0.5
839,3.0,2.0,1.5294117647058822,1.0
256,1.0,2.0,2.0,2.0
557,1.0,1.0,1.9166666666666667,1.5
600,1.0,2.0,1.1,0.5
312,2.0,1.0,0.8333333333333334,1.0
390,5.0,1.0,3.0,3.0
350,3.0,1.0,1.25,1.0
58,1.0,5.0,5.0,5.0
814,1.0,1.0,1.2142857142857142,1.0
452,1.0,2.0,1.125,1.0
430,0.0,3.0,1.8333333333333333,2.0
18,1.0,2.0,1.3333333333333333,1.0
633,2.0,0.5,1.5294117647058822,1.0
746,3.0,1.0,1.2,1.0
779,2.0,1.0,1.0,1.0
801,2.0,5.0,1.5833333333333333,1.0
729,3.0,1.0,1.5833333333333333,1.0
334,3.0,2.0,1.25,1.25
278,1.0,2.0,1.2,1.0
383,2.0,0.5,1.25,1.25
390,3.0,1.0,3.0,3.0
132,3.0,1.0,1.1111111111111112,1.0
86,1.0,1.0,3.0,3.0
432,0.5,1.0,1.5,1.0
511,0.5,0.5,0.6666666666666666,0.5
228,1.0,3.0,3.0,3.0
729,3.0,1.0,1.5833333333333333,1.0
261,3.0,3.0,1.125,0.75
390,3.0,1.0,3.0,3.0
714,2.0,0.5,0.5,0.5
148,2.0,1.0,1.5294117647058822,1.0
850,2.0,1.0,1.125,1.0
793,1.0,0.5,0.5,0.5
234,2.0,2.0,1.125,0.75
149,2.0,1.0,1.0,1.0
335,1.0,2.0,2.0,2.0
675,2.0,0.5,1.1111111111111112,1.0
822,2.0,1.0,0.75,0.75
827,2.0,1.0,1.0,1.0
4,2.0,1.0,1.0,1.0
729,2.0,1.0,1.5833333333333333,1.0
768,1.0,0.5,1.2,1.0
601,2.0,1.0,0.8,1.0
520,1.0,0.5,0.5,0.5
729,8.0,1.0,1.5833333333333333,1.0
387,2.0,5.0,3.5,3.5
350,2.0,1.0,1.25,1.0
714,1.0,0.5,0.5,0.5
839,5.0,2.0,1.5294117647058822,1.0
844,3.0,3.0,1.2,1.0
461,1.0,2.0,1.3,1.0
756,5.0,1.0,1.5833333333333333,1.0
756,2.0,1.0,1.5833333333333333,1.0
