closest,sp,closest_sp,mean_cluster_sp,median_cluster_sp
374,5,3,3.294736842105263,2.0
374,3,3,3.294736842105263,2.0
307,3,8,3.294736842105263,2.0
307,5,8,3.294736842105263,2.0
361,8,8,3.294736842105263,2.0
110,3,0,3.294736842105263,2.0
24,2,8,3.294736842105263,2.0
273,3,1,3.294736842105263,2.0
277,1,2,3.294736842105263,2.0
230,3,1,3.294736842105263,2.0
445,2,1,3.294736842105263,2.0
334,3,5,3.294736842105263,2.0
314,1,2,3.294736842105263,2.0
381,1,3,3.294736842105263,2.0
35,1,2,3.294736842105263,2.0
70,8,3,3.294736842105263,2.0
422,1,1,3.294736842105263,2.0
333,3,5,3.294736842105263,2.0
227,1,1,3.294736842105263,2.0
258,5,1,3.294736842105263,2.0
200,2,5,3.294736842105263,2.0
160,1,1,3.294736842105263,2.0
319,1,2,3.294736842105263,2.0
440,5,1,3.294736842105263,2.0
409,2,1,3.294736842105263,2.0
440,5,1,3.294736842105263,2.0
465,3,2,3.294736842105263,2.0
277,3,2,3.294736842105263,2.0
444,1,3,3.294736842105263,2.0
472,5,1,3.294736842105263,2.0
99,8,1,3.294736842105263,2.0
152,2,2,3.294736842105263,2.0
425,5,8,3.294736842105263,2.0
475,8,2,3.294736842105263,2.0
441,1,1,3.294736842105263,2.0
344,3,5,3.294736842105263,2.0
277,1,2,3.294736842105263,2.0
381,5,3,3.294736842105263,2.0
440,3,1,3.294736842105263,2.0
170,3,2,3.294736842105263,2.0
275,1,8,3.294736842105263,2.0
313,5,8,3.294736842105263,2.0
406,3,5,3.294736842105263,2.0
445,1,1,3.294736842105263,2.0
436,3,5,3.294736842105263,2.0
447,5,1,3.294736842105263,2.0
170,5,2,3.294736842105263,2.0
359,2,5,3.294736842105263,2.0
292,2,20,3.294736842105263,2.0
146,1,3,3.294736842105263,2.0
344,3,5,3.294736842105263,2.0
358,1,8,3.294736842105263,2.0
152,1,2,3.294736842105263,2.0
376,3,1,3.294736842105263,2.0
129,3,2,3.294736842105263,2.0
432,1,2,3.294736842105263,2.0
451,2,1,3.294736842105263,2.0
402,2,3,3.294736842105263,2.0
344,2,5,3.294736842105263,2.0
326,3,3,3.294736842105263,2.0
369,5,8,3.294736842105263,2.0
405,8,2,3.294736842105263,2.0
459,1,1,3.294736842105263,2.0
204,3,1,3.294736842105263,2.0
446,5,3,3.294736842105263,2.0
290,2,2,3.294736842105263,2.0
336,0,3,3.294736842105263,2.0
93,5,8,3.294736842105263,2.0
259,2,1,3.294736842105263,2.0
434,3,5,3.294736842105263,2.0
441,0,1,3.294736842105263,2.0
451,1,1,3.294736842105263,2.0
437,2,8,3.294736842105263,2.0
376,3,1,3.294736842105263,2.0
462,5,1,3.294736842105263,2.0
433,3,2,3.294736842105263,2.0
110,2,0,3.294736842105263,2.0
337,2,5,3.294736842105263,2.0
272,2,3,3.294736842105263,2.0
250,1,1,3.294736842105263,2.0
326,1,3,3.294736842105263,2.0
141,5,1,3.294736842105263,2.0
428,1,1,3.294736842105263,2.0
282,8,5,3.294736842105263,2.0
183,3,2,3.294736842105263,2.0
434,3,5,3.294736842105263,2.0
344,3,5,3.294736842105263,2.0
476,5,20,3.294736842105263,2.0
273,3,1,3.294736842105263,2.0
472,5,1,3.294736842105263,2.0
332,8,3,3.294736842105263,2.0
434,1,5,3.294736842105263,2.0
476,2,20,3.294736842105263,2.0
484,2,3,3.294736842105263,2.0
310,2,1,3.294736842105263,2.0
287,8,5,3.294736842105263,2.0
332,5,3,3.294736842105263,2.0
19,1,1,3.294736842105263,2.0
376,5,1,3.294736842105263,2.0
30,8,2,3.294736842105263,2.0
440,3,1,3.294736842105263,2.0
438,3,1,3.294736842105263,2.0
439,3,5,3.294736842105263,2.0
385,3,2,3.294736842105263,2.0
307,1,8,3.294736842105263,2.0
213,3,8,3.294736842105263,2.0
434,1,5,3.294736842105263,2.0
277,1,2,3.294736842105263,2.0
170,1,2,3.294736842105263,2.0
329,2,2,3.294736842105263,2.0
178,2,0,3.294736842105263,2.0
122,3,5,3.294736842105263,2.0
305,3,5,3.294736842105263,2.0
165,1,8,3.294736842105263,2.0
275,2,8,3.294736842105263,2.0
374,2,3,3.294736842105263,2.0
470,2,3,3.294736842105263,2.0
217,1,8,3.294736842105263,2.0
374,2,3,3.294736842105263,2.0
475,5,2,3.294736842105263,2.0
475,5,2,3.294736842105263,2.0
336,8,3,3.294736842105263,2.0
24,8,8,3.294736842105263,2.0
403,2,8,3.294736842105263,2.0
401,5,2,3.294736842105263,2.0
374,0,3,3.294736842105263,2.0
273,3,1,3.294736842105263,2.0
374,2,3,3.294736842105263,2.0
233,8,8,3.294736842105263,2.0
440,5,1,3.294736842105263,2.0
445,3,1,3.294736842105263,2.0
44,2,8,3.294736842105263,2.0
123,5,3,3.294736842105263,2.0
300,3,0,3.294736842105263,2.0
313,3,8,3.294736842105263,2.0
254,2,5,3.294736842105263,2.0
406,3,5,3.294736842105263,2.0
433,3,2,3.294736842105263,2.0
446,3,3,3.294736842105263,2.0
63,3,2,3.294736842105263,2.0
406,3,5,3.294736842105263,2.0
336,8,3,3.294736842105263,2.0
441,5,1,3.294736842105263,2.0
170,1,2,3.294736842105263,2.0
170,0,2,3.294736842105263,2.0
456,2,2,3.294736842105263,2.0
170,5,2,3.294736842105263,2.0
440,3,1,3.294736842105263,2.0
336,1,3,3.294736842105263,2.0
153,1,1,3.294736842105263,2.0
337,2,5,3.294736842105263,2.0
392,1,3,3.294736842105263,2.0
78,2,1,3.294736842105263,2.0
298,2,2,2.888888888888889,2.0
441,1,1,3.294736842105263,2.0
376,1,1,3.294736842105263,2.0
170,3,2,3.294736842105263,2.0
422,1,1,3.294736842105263,2.0
459,2,1,3.294736842105263,2.0
326,1,3,3.294736842105263,2.0
422,2,1,3.294736842105263,2.0
465,5,2,3.294736842105263,2.0
329,1,2,3.294736842105263,2.0
429,1,1,3.294736842105263,2.0
